subid,slidenumber,condition,rawDT,age_months,milliDT,logDT,logDT_win,slide_num_adj,run,slide_type,pix_change,pix_adj
AA48,3,barrier,0.589,43,589,2.770115295,2.770115295,2,first,boundary,3561770.332,6.193952302
AA48,4,barrier,0.436,43,436,2.639486489,2.639486489,3,first,within,4271778.798,7.428663742
AA48,5,barrier,0.426,43,426,2.629409599,2.629409599,4,first,within,4651819.088,8.089557401
AA48,6,barrier,0.526,43,526,2.720985744,2.720985744,5,first,within,4089593.053,7.111841008
AA48,7,barrier,0.482,43,482,2.683047038,2.683047038,6,first,within,4506593.589,7.837008885
AA48,8,barrier,0.398,43,398,2.599883072,2.599883072,7,first,within,5074698.017,8.824947859
AA48,9,barrier,0.541,43,541,2.733197265,2.733197265,8,first,within,5223628.424,9.083939246
AA48,10,barrier,0.415,43,415,2.618048097,2.618048097,9,first,boundary,4844785.612,8.425128012
AA48,11,barrier,0.709,43,709,2.850646235,2.850646235,10,first,within,5422821.596,9.430338056
AA48,12,barrier,0.495,43,495,2.694605199,2.694605199,11,first,within,4776043.282,8.30558445
AA48,13,barrier,0.395,43,395,2.596597096,2.596597096,12,first,within,4546110.525,7.90572921
AA48,14,barrier,0.418,43,418,2.621176282,2.621176282,13,first,within,4210393.209,7.321913622
AA48,15,barrier,0.441,43,441,2.644438589,2.644438589,14,first,within,4565120.403,7.938787568
AA48,16,barrier,0.814,43,814,2.910624405,2.910624405,15,first,within,4553860.738,7.919206904
AA48,17,barrier,0.389,43,389,2.589949601,2.589949601,16,first,within,4038429.224,7.022866625
AA48,18,barrier,0.476,43,476,2.677606953,2.677606953,17,first,boundary,3445924.179,5.992494746
AA48,19,barrier,0.448,43,448,2.651278014,2.651278014,18,first,within,4059682.655,7.059826543
AA48,20,barrier,0.333,43,333,2.522444234,2.522444234,19,first,within,4212509.219,7.325593383
AA48,24,barrier,0.294,43,294,2.46834733,2.46834733,2,second,boundary,3561770.332,6.193952302
AA48,25,barrier,0.313,43,313,2.495544338,2.495544338,3,second,within,4271778.798,7.428663742
AA48,26,barrier,0.323,43,323,2.509202522,2.509202522,4,second,within,4651819.088,8.089557401
AA48,27,barrier,0.35,43,350,2.544068044,2.544068044,5,second,within,4089593.053,7.111841008
AA48,28,barrier,0.342,43,342,2.534026106,2.534026106,6,second,within,4506593.589,7.837008885
AA48,29,barrier,0.392,43,392,2.593286067,2.593286067,7,second,within,5074698.017,8.824947859
AA48,30,barrier,0.528,43,528,2.722633923,2.722633923,8,second,within,5223628.424,9.083939246
AA48,31,barrier,0.61,43,610,2.785329835,2.785329835,9,second,boundary,4844785.612,8.425128012
AA48,32,barrier,0.561,43,561,2.748962861,2.748962861,10,second,within,5422821.596,9.430338056
AA48,33,barrier,0.718,43,718,2.856124444,2.856124444,11,second,within,4776043.282,8.30558445
AA48,34,barrier,0.627,43,627,2.797267541,2.797267541,12,second,within,4546110.525,7.90572921
AA48,35,barrier,0.537,43,537,2.729974286,2.729974286,13,second,within,4210393.209,7.321913622
AA48,36,barrier,0.578,43,578,2.761927838,2.761927838,14,second,within,4565120.403,7.938787568
AA48,37,barrier,0.754,43,754,2.877371346,2.877371346,15,second,within,4553860.738,7.919206904
AA48,38,barrier,0.683,43,683,2.834420704,2.834420704,16,second,within,4038429.224,7.022866625
AA48,39,barrier,0.534,43,534,2.727541257,2.727541257,17,second,boundary,3445924.179,5.992494746
AA48,40,barrier,1.128,43,1128,3.0523091,3.0523091,18,second,within,4059682.655,7.059826543
AA48,41,barrier,0.593,43,593,2.773054693,2.773054693,19,second,within,4212509.219,7.325593383
BA41,3,nothing,0.485,50,485,2.685741739,2.685741739,2,first,boundary,3381826.49,5.881028259
BA41,4,nothing,0.472,50,472,2.673941999,2.673941999,3,first,within,3882150.485,6.751096419
BA41,5,nothing,0.493,50,493,2.692846919,2.692846919,4,first,within,4296483.591,7.47162561
BA41,6,nothing,0.512,50,512,2.709269961,2.709269961,5,first,within,4031697.099,7.011159396
BA41,7,nothing,0.515,50,515,2.711807229,2.711807229,6,first,within,4639716.692,8.06851122
BA41,8,nothing,0.549,50,549,2.739572344,2.739572344,7,first,within,5105712.6,8.878882513
BA41,9,nothing,1.15,50,1150,3.06069784,3.06069784,8,first,within,6466129.029,11.24465955
BA41,10,nothing,0.67,50,670,2.826074803,2.826074803,9,first,boundary,5526230.268,9.610166715
BA41,11,nothing,0.53,50,530,2.72427587,2.72427587,10,first,within,5664133.439,9.849981634
BA41,12,nothing,0.612,50,612,2.786751422,2.786751422,11,first,within,5079969.27,8.834114618
BA41,13,nothing,0.51,50,510,2.707570176,2.707570176,12,first,within,4574287.827,7.954729805
BA41,14,nothing,0.493,50,493,2.692846919,2.692846919,13,first,within,3920132.597,6.817147671
BA41,15,nothing,0.624,50,624,2.79518459,2.79518459,14,first,within,3760258.053,6.539124327
BA41,16,nothing,1.198,50,1198,3.078456818,3.078456818,15,first,within,3688629.216,6.414561102
