KidGoalSF_2 CS54
Order: 1
Experimenter: JK
SLIDE SHOW: nothing
nothing1 Look:  3.473
nothing2 Look:  0.547
nothing3 Look:  0.548
nothing4 Look:  0.461
nothing5 Look:  0.810
nothing6 Look:  0.664
nothing7 Look:  0.509
nothing8 Look:  0.520
nothing9 Look:  0.474
nothing10 Look:  1.134
nothing11 Look:  0.447
nothing12 Look:  0.556
nothing13 Look:  0.397
nothing14 Look:  0.485
nothing15 Look:  0.608
nothing16 Look:  0.439
nothing17 Look:  0.604
nothing18 Look:  0.932
nothing19 Look:  1.084
nothing20 Look:  0.686
nothing21 Look:  0.626
nothing22 Look:  1.376
nothing23 Look:  0.823
nothing24 Look:  0.766
nothing25 Look:  0.725
nothing26 Look:  1.071
nothing27 Look:  0.963
nothing28 Look:  1.035
nothing29 Look:  0.752
nothing30 Look:  0.896
nothing31 Look:  0.812
nothing32 Look:  0.770
nothing33 Look:  0.458
nothing34 Look:  0.605
nothing35 Look:  0.501
nothing36 Look:  1.008
nothing37 Look:  0.390
nothing38 Look:  0.958
nothing39 Look:  7.694
nothing40 Look:  2.162
nothing41 Look:  0.566
nothing42 Look:  0.489
nothing43 Look: 15.653
