KidGoalSF_3 DA68
Order: 1
Experimenter: JK
SLIDE SHOW: straight
straight1 Look:  4.347
straight2 Look:  9.381
straight3 Look:  7.455
straight4 Look:  1.796
straight5 Look:  1.219
straight6 Look:  1.104
straight7 Look:  0.059
straight8 Look:  1.152
straight9 Look:  2.568
straight10 Look:  0.734
straight11 Look:  8.663
straight12 Look: 30.468
straight13 Look:  0.739
straight14 Look:  0.755
straight15 Look:  0.612
straight16 Look:  0.574
straight17 Look:  0.639
straight18 Look:  7.286
straight19 Look:  0.709
straight20 Look:  1.207
straight21 Look: 29.885
straight22 Look:  1.476
straight23 Look:  1.142
straight24 Look:  0.799
straight25 Look:  0.653
straight26 Look:  0.442
straight27 Look:  0.520
straight28 Look:  0.594
straight29 Look:  0.529
straight30 Look:  1.019
straight31 Look:  0.472
straight32 Look:  0.373
straight33 Look:  0.917
straight34 Look:  0.558
straight35 Look:  0.480
straight36 Look:  0.883
straight37 Look:  0.511
straight38 Look:  0.433
straight39 Look:  0.415
straight40 Look:  0.885
straight41 Look:  0.880
straight42 Look: 41.196
straight43 Look:  0.834
