KidGoalSF_3 DE33
Order: 1
Experimenter: JK
SLIDE SHOW: straight
straight1 Look:  3.356
straight2 Look:  2.337
straight3 Look:  1.233
straight4 Look:  0.982
straight5 Look:  0.957
straight6 Look:  0.981
straight7 Look:  0.989
straight8 Look:  0.924
straight9 Look:  1.742
straight10 Look:  1.582
straight11 Look:  1.325
straight12 Look:  0.934
straight13 Look:  0.959
straight14 Look:  0.920
straight15 Look:  1.370
straight16 Look:  1.136
straight17 Look:  1.297
straight18 Look:  2.700
straight19 Look:  3.429
straight20 Look:  0.645
straight21 Look:  1.126
straight22 Look:  0.887
straight23 Look:  0.898
straight24 Look:  0.909
straight25 Look:  0.727
straight26 Look:  0.714
straight27 Look:  0.179
straight28 Look:  1.156
straight29 Look: 11.765
straight30 Look:  0.729
straight31 Look:  0.723
straight32 Look:  0.693
straight33 Look:  0.678
straight34 Look:  0.837
straight35 Look:  0.634
straight36 Look:  0.904
straight37 Look:  0.594
straight38 Look:  0.561
straight39 Look:  0.434
straight40 Look:  2.944
straight41 Look:  1.525
straight42 Look:  1.232
straight43 Look:  1.020
