KidGoal_1 FS94
Order: 1
Experimenter: JK
SLIDE SHOW: barrier
barrier1 Look:  4.184
barrier2 Look:  0.852
barrier3 Look:  1.473
barrier4 Look:  0.804
barrier5 Look:  0.882
barrier6 Look:  0.677
barrier7 Look:  2.161
barrier8 Look:  0.360
barrier9 Look: 11.249
barrier10 Look:  0.996
barrier11 Look:  1.219
barrier12 Look:  0.352
barrier13 Look:  0.113
barrier14 Look:  4.131
barrier15 Look:  0.787
barrier16 Look:  0.506
barrier17 Look:  0.469
barrier18 Look:  0.841
barrier19 Look:  1.990
barrier20 Look:  0.467
barrier21 Look:  0.071
barrier22 Look:  0.260
barrier23 Look:  0.269
barrier24 Look:  0.253
barrier25 Look: 10.546
barrier26 Look:  2.385
barrier27 Look:  0.487
barrier28 Look:  2.778
barrier29 Look:  1.673
barrier30 Look:  0.259
barrier31 Look:  1.768
barrier32 Look:  0.326
barrier33 Look:  3.496
barrier34 Look:  0.334
barrier35 Look:  0.267
barrier36 Look:  0.328
barrier37 Look:  0.306
barrier38 Look:  0.316
barrier39 Look:  0.303
barrier40 Look:  0.289
barrier41 Look:  2.917
barrier42 Look:  7.485
barrier43 Look:  0.222
