KidGoalSF_2 GR51
Order: 1
Experimenter: JK
SLIDE SHOW: nothing
nothing1 Look:  6.889
nothing2 Look:  0.390
nothing3 Look:  0.373
nothing4 Look:  0.822
nothing5 Look:  0.620
nothing6 Look:  0.769
nothing7 Look:  0.794
nothing8 Look:  0.737
nothing9 Look:  0.666
nothing10 Look:  0.686
nothing11 Look:  0.729
nothing12 Look:  0.595
nothing13 Look:  0.539
nothing14 Look:  0.627
nothing15 Look:  0.623
nothing16 Look:  0.590
nothing17 Look:  0.702
nothing18 Look:  0.610
nothing19 Look:  0.635
nothing20 Look:  1.702
nothing21 Look:  1.334
nothing22 Look:  0.624
nothing23 Look: 10.670
nothing24 Look:  0.880
nothing25 Look:  0.635
nothing26 Look:  0.561
nothing27 Look:  0.513
nothing28 Look:  0.708
nothing29 Look:  0.551
nothing30 Look:  0.544
nothing31 Look:  0.513
nothing32 Look:  0.420
nothing33 Look:  0.650
nothing34 Look:  0.582
nothing35 Look:  0.590
nothing36 Look:  0.558
nothing37 Look:  0.615
nothing38 Look:  0.476
nothing39 Look:  0.502
nothing40 Look:  0.547
nothing41 Look:  0.621
nothing42 Look:  0.691
nothing43 Look:  1.414
