KidGoal_1 HE16
Order: 1
Experimenter: JK
SLIDE SHOW: barrier
barrier1 Look:  7.249
barrier2 Look:  1.261
barrier3 Look:  0.719
barrier4 Look:  0.613
barrier5 Look:  0.548
barrier6 Look:  0.565
barrier7 Look:  0.533
barrier8 Look:  0.462
barrier9 Look:  0.459
barrier10 Look:  0.536
barrier11 Look:  1.258
barrier12 Look:  0.558
barrier13 Look:  0.582
barrier14 Look:  0.493
barrier15 Look:  0.881
barrier16 Look:  0.549
barrier17 Look:  0.622
barrier18 Look:  1.244
barrier19 Look:  0.950
barrier20 Look:  0.481
barrier21 Look:  0.524
barrier22 Look:  1.878
barrier23 Look:  1.606
barrier24 Look:  1.030
barrier25 Look:  0.676
barrier26 Look:  0.790
barrier27 Look:  0.629
barrier28 Look:  0.493
barrier29 Look:  0.537
barrier30 Look:  2.714
barrier31 Look:  1.342
barrier32 Look:  0.851
barrier33 Look:  0.567
barrier34 Look:  0.696
barrier35 Look:  0.579
barrier36 Look:  0.707
barrier37 Look:  0.541
barrier38 Look:  1.494
barrier39 Look:  1.486
barrier40 Look:  3.196
barrier41 Look:  0.965
barrier42 Look:  0.728
barrier43 Look: 11.778
