KidGoalSF_2 HE77
Order: 1
Experimenter: JK
SLIDE SHOW: nothing
nothing1 Look:  4.281
nothing2 Look: 10.069
nothing3 Look:  1.860
nothing4 Look:  0.822
nothing5 Look:  0.781
nothing6 Look:  0.828
nothing7 Look:  0.634
nothing8 Look:  1.183
nothing9 Look:  0.702
nothing10 Look:  0.689
nothing11 Look:  2.396
nothing12 Look:  0.821
nothing13 Look:  0.749
nothing14 Look:  0.560
nothing15 Look:  0.624
nothing16 Look:  0.590
nothing17 Look:  0.598
nothing18 Look:  2.684
nothing19 Look:  3.518
nothing20 Look:  1.044
nothing21 Look:  5.434
nothing22 Look:  0.763
nothing23 Look:  0.995
nothing24 Look:  0.783
nothing25 Look:  0.610
nothing26 Look:  0.566
nothing27 Look:  0.369
nothing28 Look:  0.633
nothing29 Look:  0.478
nothing30 Look:  0.658
nothing31 Look:  0.551
nothing32 Look:  1.071
nothing33 Look:  0.659
nothing34 Look:  0.582
nothing35 Look:  0.631
nothing36 Look:  0.460
nothing37 Look:  0.570
nothing38 Look:  0.538
nothing39 Look:  0.500
nothing40 Look:  1.550
nothing41 Look:  0.614
nothing42 Look:  0.524
nothing43 Look:  0.550
