KidGoalSF_2 IA84
Order: 1
Experimenter: JK
SLIDE SHOW: nothing
nothing1 Look: 14.404
nothing2 Look: 11.132
nothing3 Look:  1.996
nothing4 Look:  1.510
nothing5 Look:  2.036
nothing6 Look:  1.503
nothing7 Look:  0.921
nothing8 Look:  0.739
nothing9 Look:  1.420
nothing10 Look:  3.186
nothing11 Look: 34.934
nothing12 Look:  3.781
nothing13 Look: 20.198
nothing14 Look:  1.886
nothing15 Look:  1.240
nothing16 Look:  1.732
nothing17 Look:  1.932
nothing18 Look: 25.789
nothing19 Look:  2.845
nothing20 Look:  1.989
nothing21 Look:  1.318
nothing22 Look:  3.975
nothing23 Look:  4.539
nothing24 Look:  7.049
nothing25 Look:  6.454
nothing26 Look:  1.326
nothing27 Look:  1.735
nothing28 Look:  1.792
nothing29 Look:  2.109
nothing30 Look:  1.247
nothing31 Look:  3.715
nothing32 Look:  0.267
nothing33 Look:  1.871
nothing34 Look:  1.786
nothing35 Look:  1.176
nothing36 Look:  0.808
nothing37 Look:  0.878
nothing38 Look:  1.559
nothing39 Look:  2.053
nothing40 Look:  4.733
nothing41 Look:  1.238
nothing42 Look:  1.598
nothing43 Look:  4.173
