KidGoalSF_2 JG23
Order: 1
Experimenter: JK
SLIDE SHOW: nothing
nothing1 Look:  8.162
nothing2 Look: 22.516
nothing3 Look:  4.261
nothing4 Look:  3.110
nothing5 Look:  2.822
nothing6 Look:  2.229
nothing7 Look:  2.362
nothing8 Look:  1.760
nothing9 Look:  1.248
nothing10 Look:  1.879
nothing11 Look:  1.077
nothing12 Look:  1.145
nothing13 Look:  1.074
nothing14 Look:  1.101
nothing15 Look:  1.104
nothing16 Look:  1.145
nothing17 Look:  1.178
nothing18 Look:  1.149
nothing19 Look:  1.058
nothing20 Look:  0.974
nothing21 Look:  0.838
nothing22 Look:  1.011
nothing23 Look:  0.885
nothing24 Look:  0.900
nothing25 Look:  0.775
nothing26 Look:  0.792
nothing27 Look:  1.158
nothing28 Look:  1.349
nothing29 Look:  0.782
nothing30 Look:  0.628
nothing31 Look:  0.690
nothing32 Look:  0.734
nothing33 Look:  0.574
nothing34 Look:  0.599
nothing35 Look:  0.621
nothing36 Look:  1.628
nothing37 Look:  0.597
nothing38 Look:  2.159
nothing39 Look:  3.006
nothing40 Look:  0.802
nothing41 Look:  0.761
nothing42 Look:  0.666
nothing43 Look:  0.582
