KidGoal_1 KA45
Order: 1
Experimenter: JK
SLIDE SHOW: barrier
barrier1 Look:  5.406
barrier2 Look:  0.735
barrier3 Look:  0.585
barrier4 Look:  0.656
barrier5 Look:  0.573
barrier6 Look:  0.973
barrier7 Look:  0.764
barrier8 Look:  0.589
barrier9 Look:  1.332
barrier10 Look:  0.861
barrier11 Look:  0.577
barrier12 Look:  0.670
barrier13 Look:  0.612
barrier14 Look:  0.676
barrier15 Look:  0.566
barrier16 Look:  0.528
barrier17 Look:  0.634
barrier18 Look:  0.895
barrier19 Look:  7.299
barrier20 Look:  0.726
barrier21 Look:  3.086
barrier22 Look:  2.026
barrier23 Look:  0.749
barrier24 Look:  0.686
barrier25 Look:  0.858
barrier26 Look:  0.726
barrier27 Look:  0.728
barrier28 Look:  2.383
barrier29 Look:  0.527
barrier30 Look:  0.801
barrier31 Look:  0.800
barrier32 Look:  0.782
barrier33 Look:  0.654
barrier34 Look:  0.890
barrier35 Look:  0.694
barrier36 Look:  0.697
barrier37 Look:  0.933
barrier38 Look:  0.782
barrier39 Look:  0.893
barrier40 Look:  3.976
barrier41 Look:  1.061
barrier42 Look: 11.079
barrier43 Look:  1.098
