KidGoalSF_2 KC46
Order: 1
Experimenter: JK
SLIDE SHOW: nothing
nothing1 Look:  3.880
nothing2 Look:  0.621
nothing3 Look:  0.782
nothing4 Look:  0.526
nothing5 Look:  0.512
nothing6 Look:  0.507
nothing7 Look:  0.454
nothing8 Look:  0.475
nothing9 Look:  0.607
nothing10 Look:  1.758
nothing11 Look:  2.941
nothing12 Look:  0.332
nothing13 Look:  0.373
nothing14 Look:  0.446
nothing15 Look:  0.395
nothing16 Look:  0.451
nothing17 Look:  1.087
nothing18 Look:  0.538
nothing19 Look:  1.189
nothing20 Look:  0.507
nothing21 Look:  0.550
nothing22 Look:  1.358
nothing23 Look:  0.999
nothing24 Look: 18.813
nothing25 Look:  0.481
nothing26 Look:  1.197
nothing27 Look:  0.524
nothing28 Look:  0.887
nothing29 Look:  0.546
nothing30 Look:  0.899
nothing31 Look:  1.269
nothing32 Look:  0.385
nothing33 Look:  0.408
nothing34 Look:  1.784
nothing35 Look:  0.430
nothing36 Look:  0.515
nothing37 Look:  0.438
nothing38 Look:  0.579
nothing39 Look:  0.635
nothing40 Look:  1.016
nothing41 Look:  0.486
nothing42 Look:  1.449
nothing43 Look:  0.533
