KidGoal_1 ME102
Order: 1
Experimenter: JK
SLIDE SHOW: barrier
barrier1 Look:  3.904
barrier2 Look:  5.544
barrier3 Look:  1.699
barrier4 Look:  0.749
barrier5 Look:  0.757
barrier6 Look:  0.654
barrier7 Look:  0.858
barrier8 Look:  0.750
barrier9 Look:  0.808
barrier10 Look:  0.694
barrier11 Look:  0.770
barrier12 Look:  0.785
barrier13 Look:  0.728
barrier14 Look:  0.763
barrier15 Look:  0.835
barrier16 Look:  0.745
barrier17 Look:  0.862
barrier18 Look:  0.734
barrier19 Look:  0.774
barrier20 Look:  0.982
barrier21 Look:  1.429
barrier22 Look:  4.794
barrier23 Look:  0.957
barrier24 Look:  0.814
barrier25 Look:  0.501
barrier26 Look:  0.479
barrier27 Look:  0.364
barrier28 Look:  0.668
barrier29 Look:  0.376
barrier30 Look:  0.704
barrier31 Look:  1.051
barrier32 Look:  0.567
barrier33 Look:  0.535
barrier34 Look:  0.641
barrier35 Look:  0.918
barrier36 Look:  0.648
barrier37 Look:  0.669
barrier38 Look:  0.737
barrier39 Look:  0.698
barrier40 Look:  0.606
barrier41 Look:  0.700
barrier42 Look: 16.911
barrier43 Look:  0.957
