KidGoal_1 MK69
Order: 1
Experimenter: JK
SLIDE SHOW: barrier
barrier1 Look: 11.857
barrier2 Look:  4.163
barrier3 Look:  3.686
barrier4 Look:  2.217
barrier5 Look:  4.805
barrier6 Look: 38.751
barrier7 Look:  2.662
barrier8 Look:  1.741
barrier9 Look:  1.597
barrier10 Look:  1.683
barrier11 Look:  1.870
barrier12 Look:  1.361
barrier13 Look:  1.293
barrier14 Look:  1.175
barrier15 Look:  1.286
barrier16 Look:  1.661
barrier17 Look:  1.726
barrier18 Look:  9.695
barrier19 Look:  2.075
barrier20 Look:  2.430
barrier21 Look:  1.871
barrier22 Look:  4.797
barrier23 Look:  3.294
barrier24 Look:  1.053
barrier25 Look:  0.973
barrier26 Look:  0.988
barrier27 Look:  1.243
barrier28 Look:  0.919
barrier29 Look:  3.194
barrier30 Look:  0.758
barrier31 Look:  2.654
barrier32 Look:  0.906
barrier33 Look:  0.876
barrier34 Look:  0.607
barrier35 Look:  0.805
barrier36 Look:  2.493
barrier37 Look:  0.926
barrier38 Look:  0.814
barrier39 Look:  1.166
barrier40 Look:  1.230
barrier41 Look:  1.291
barrier42 Look:  0.997
barrier43 Look: 13.844
