KidGoal_1 RC47
Order: 1
Experimenter: JK
SLIDE SHOW: barrier
barrier1 Look:  3.933
barrier2 Look:  0.780
barrier3 Look: 20.052
barrier4 Look:  1.310
barrier5 Look:  0.351
barrier6 Look:  0.448
barrier7 Look:  0.501
barrier8 Look:  0.647
barrier9 Look:  0.489
barrier10 Look:  0.420
barrier11 Look:  0.550
barrier12 Look:  0.485
barrier13 Look:  0.513
barrier14 Look: 19.229
barrier15 Look:  0.181
barrier16 Look:  0.344
barrier17 Look:  0.362
barrier18 Look:  0.459
barrier19 Look:  0.415
barrier20 Look:  0.918
barrier21 Look:  0.479
barrier22 Look:  0.404
barrier23 Look:  0.594
barrier24 Look:  0.430
barrier25 Look:  0.791
barrier26 Look:  0.366
barrier27 Look:  2.863
barrier28 Look:  0.377
barrier29 Look:  0.502
barrier30 Look:  0.500
barrier31 Look:  2.807
barrier32 Look:  1.067
barrier33 Look:  0.479
barrier34 Look:  0.963
barrier35 Look:  0.843
barrier36 Look:  2.552
barrier37 Look:  0.335
barrier38 Look:  0.345
barrier39 Look:  0.330
barrier40 Look:  7.156
barrier41 Look:  0.351
barrier42 Look:  0.376
barrier43 Look:  0.416
