KidGoalSF_2 RS10
Order: 1
Experimenter: JK
SLIDE SHOW: nothing
nothing1 Look:  4.119
nothing2 Look:  1.887
nothing3 Look: 17.600
nothing4 Look:  0.590
nothing5 Look:  1.045
nothing6 Look:  0.690
nothing7 Look:  0.605
nothing8 Look:  0.644
nothing9 Look:  0.513
nothing10 Look:  0.548
nothing11 Look:  3.197
nothing12 Look:  0.458
nothing13 Look:  0.455
nothing14 Look:  0.484
nothing15 Look:  0.431
nothing16 Look:  0.518
nothing17 Look:  0.456
nothing18 Look:  7.684
nothing19 Look:  0.535
nothing20 Look:  0.482
nothing21 Look:  0.511
nothing22 Look:  5.609
nothing23 Look:  0.555
nothing24 Look:  0.603
nothing25 Look:  0.683
nothing26 Look:  0.581
nothing27 Look:  0.549
nothing28 Look:  0.550
nothing29 Look:  0.535
nothing30 Look:  0.616
nothing31 Look:  0.582
nothing32 Look:  5.677
nothing33 Look:  0.340
nothing34 Look:  0.422
nothing35 Look:  0.468
nothing36 Look:  0.464
nothing37 Look:  0.517
nothing38 Look:  3.135
nothing39 Look:  0.437
nothing40 Look:  0.467
nothing41 Look:  0.455
nothing42 Look:  6.229
nothing43 Look:  6.587
