KidGoalSF_3 SE43
Order: 1
Experimenter: JK
SLIDE SHOW: straight
straight1 Look:  6.636
straight2 Look:  7.069
straight3 Look:  3.526
straight4 Look: 17.142
straight5 Look: 26.723
straight6 Look:  7.043
straight7 Look:  2.626
straight8 Look:  5.126
straight9 Look: 46.299
straight10 Look:  0.705
straight11 Look:  0.244
straight12 Look:  0.241
straight13 Look:  0.183
straight14 Look:  2.302
straight15 Look:  0.952
straight16 Look:  0.520
straight17 Look:  0.658
straight18 Look:  0.887
straight19 Look:  5.066
straight20 Look:  4.406
straight21 Look:  2.013
straight22 Look:  4.322
straight23 Look:  2.745
straight24 Look:  1.750
straight25 Look:  3.782
straight26 Look:  0.980
straight27 Look:  0.819
straight28 Look:  0.729
straight29 Look:  0.627
straight30 Look:  2.809
straight31 Look:  9.613
straight32 Look:  1.555
straight33 Look:  0.626
straight34 Look:  0.405
straight35 Look:  2.679
straight36 Look:  0.921
straight37 Look:  0.787
straight38 Look:  2.977
straight39 Look:  1.087
straight40 Look:  0.643
straight41 Look:  0.648
straight42 Look:  1.444
straight43 Look:  8.121
