KidGoal_1 SF70
Order: 1
Experimenter: JK
SLIDE SHOW: barrier
barrier1 Look:  6.701
barrier2 Look:  4.541
barrier3 Look:  1.463
barrier4 Look:  1.171
barrier5 Look:  0.858
barrier6 Look:  0.622
barrier7 Look:  0.645
barrier8 Look:  1.542
barrier9 Look:  0.738
barrier10 Look:  1.564
barrier11 Look:  0.980
barrier12 Look:  0.796
barrier13 Look:  0.354
barrier14 Look:  0.323
barrier15 Look:  0.398
barrier16 Look:  0.277
barrier17 Look:  0.489
barrier18 Look:  1.404
barrier19 Look:  1.394
barrier20 Look:  0.825
barrier21 Look:  0.799
barrier22 Look:  1.806
barrier23 Look:  1.395
barrier24 Look:  1.158
barrier25 Look:  1.342
barrier26 Look:  0.823
barrier27 Look:  0.654
barrier28 Look:  0.469
barrier29 Look:  0.680
barrier30 Look:  0.349
barrier31 Look:  0.366
barrier32 Look:  0.286
barrier33 Look:  0.922
barrier34 Look:  0.531
barrier35 Look:  0.533
barrier36 Look:  0.398
barrier37 Look:  0.325
barrier38 Look:  0.343
barrier39 Look:  0.290
barrier40 Look:  0.349
barrier41 Look:  0.430
barrier42 Look:  0.812
barrier43 Look: 13.606
