KidGoalSF_2 SK57
Order: 1
Experimenter: JK
SLIDE SHOW: nothing
nothing1 Look:  3.960
nothing2 Look:  3.045
nothing3 Look:  0.270
nothing4 Look:  1.109
nothing5 Look:  0.607
nothing6 Look:  0.286
nothing7 Look:  0.281
nothing8 Look:  0.269
nothing9 Look:  0.282
nothing10 Look:  1.190
nothing11 Look:  1.492
nothing12 Look:  1.559
nothing13 Look:  0.238
nothing14 Look:  0.260
nothing15 Look:  0.311
nothing16 Look:  0.324
nothing17 Look:  0.263
nothing18 Look:  0.252
nothing19 Look:  0.321
nothing20 Look:  0.595
nothing21 Look: 14.514
nothing22 Look:  3.719
nothing23 Look:  1.942
nothing24 Look:  0.477
nothing25 Look:  0.268
nothing26 Look:  0.157
nothing27 Look:  0.878
nothing28 Look:  0.338
nothing29 Look:  0.339
nothing30 Look:  0.596
nothing31 Look:  4.604
nothing32 Look:  1.638
nothing33 Look:  1.586
nothing34 Look:  0.977
nothing35 Look:  3.825
nothing36 Look:  2.172
nothing37 Look:  2.106
nothing38 Look:  0.890
nothing39 Look:  1.542
nothing40 Look:  2.630
nothing41 Look:  0.146
nothing42 Look:  0.572
nothing43 Look:  0.580
