KidGoal_1 SX103
Order: 1
Experimenter: JK
SLIDE SHOW: barrier
barrier1 Look:  3.600
barrier2 Look:  0.347
barrier3 Look:  4.301
barrier4 Look:  2.268
barrier5 Look:  1.190
barrier6 Look:  0.878
barrier7 Look:  0.790
barrier8 Look:  0.894
barrier9 Look:  1.243
barrier10 Look:  1.295
barrier11 Look:  1.339
barrier12 Look:  0.707
barrier13 Look:  0.734
barrier14 Look:  0.791
barrier15 Look:  0.566
barrier16 Look:  0.614
barrier17 Look:  1.013
barrier18 Look:  1.244
barrier19 Look:  2.046
barrier20 Look:  0.907
barrier21 Look:  0.679
barrier22 Look:  0.510
barrier23 Look:  1.389
barrier24 Look:  1.091
barrier25 Look:  0.206
barrier26 Look:  5.748
barrier27 Look:  1.566
barrier28 Look:  0.520
barrier29 Look:  0.482
barrier30 Look:  0.966
barrier31 Look:  0.661
barrier32 Look:  0.538
barrier33 Look:  0.499
barrier34 Look:  0.398
barrier35 Look:  0.829
barrier36 Look:  0.443
barrier37 Look:  0.825
barrier38 Look:  3.142
barrier39 Look:  0.597
barrier40 Look:  0.508
barrier41 Look:  0.479
barrier42 Look:  0.636
barrier43 Look: 11.561
