KidGoal_1 TG29
Order: 1
Experimenter: JK
SLIDE SHOW: barrier
barrier1 Look:  3.339
barrier2 Look:  0.634
barrier3 Look:  0.471
barrier4 Look:  0.499
barrier5 Look:  0.525
barrier6 Look:  0.912
barrier7 Look:  0.474
barrier8 Look:  0.782
barrier9 Look:  0.557
barrier10 Look:  0.558
barrier11 Look:  0.855
barrier12 Look:  0.791
barrier13 Look:  0.507
barrier14 Look:  0.581
barrier15 Look:  0.501
barrier16 Look:  0.592
barrier17 Look:  0.568
barrier18 Look:  0.511
barrier19 Look:  0.522
barrier20 Look:  0.468
barrier21 Look:  0.504
barrier22 Look:  0.532
barrier23 Look:  0.565
barrier24 Look:  0.518
barrier25 Look:  0.535
barrier26 Look:  0.481
barrier27 Look: 20.213
barrier28 Look:  0.606
barrier29 Look:  0.558
barrier30 Look:  0.519
barrier31 Look:  0.569
barrier32 Look:  0.617
barrier33 Look:  0.671
barrier34 Look:  0.531
barrier35 Look:  0.485
barrier36 Look:  1.065
barrier37 Look:  0.484
barrier38 Look:  0.704
barrier39 Look:  0.579
barrier40 Look:  0.563
barrier41 Look:  0.532
barrier42 Look:  0.517
barrier43 Look:  0.511
