KidGoalSF_3 W50
Order: 1
Experimenter: JK
SLIDE SHOW: straight
straight1 Look:  4.741
straight2 Look:  2.538
straight3 Look:  1.666
straight4 Look:  1.053
straight5 Look:  0.914
straight6 Look:  1.172
straight7 Look:  1.155
straight8 Look:  1.323
straight9 Look:  0.916
straight10 Look: 54.174
straight11 Look:  1.154
straight12 Look:  0.857
straight13 Look:  0.786
straight14 Look:  0.684
straight15 Look:  0.728
straight16 Look:  0.730
straight17 Look:  0.652
straight18 Look:  0.969
straight19 Look:  2.304
straight20 Look:  0.833
straight21 Look:  0.670
straight22 Look:  4.242
straight23 Look:  1.636
straight24 Look:  1.224
straight25 Look:  0.710
straight26 Look:  0.080
straight27 Look:  0.869
straight28 Look:  1.112
straight29 Look:  0.770
straight30 Look:  0.059
straight31 Look: 64.128
straight32 Look:  0.947
straight33 Look:  0.708
straight34 Look:  0.079
straight35 Look:  0.788
straight36 Look:  0.698
straight37 Look:  0.693
straight38 Look:  0.696
straight39 Look:  0.803
straight40 Look:  0.906
straight41 Look:  1.141
straight42 Look:  0.510
straight43 Look:  0.510
