subid,age_months,gender
AA48,43,F
BA41,50,M
BC74,33,M
BJ59,31,F
BS55,48,M
BT02,52,F
CE98,47,M
CI97,38,F
CK61,30,M
CS54,49,F
DA68,32,M
DA92,51,F
DD27,35,F
DD95,50,F
DE33,35,F
ER101,43,M
FC26,40,M
FE73,42,F
FM34,30,M
FS94,43,F
GC64,37,M
GF21,31,M
GJ38,53,M
GM62,39,M
GR51,31,M
HB85,37,F
HE16,47,M
HE77,30,F
HH90,47,M
HM14,31,F
HS13,43,F
IA84,34,F
JC32,41,M
JE37,35,F
JG23,45,M
KA45,42,M
KB79,48,M
KC46,34,M
KF52,33,F
KG63,34,F
KL88,51,M
KR25,50,F
MA40,50,M
ME102,53,F
ME81,46,F
MF72,43,F
MJ24,47,M
MJ66,46,F
MK69,32,F
ML28,30,F
ML93,45,F
MN44,43,M
MP42,35,F
MR78,45,M
MT67,31,F
NL49,36,M
PE60,49,M
PG31,33,F
PW96,43,M
RC47,33,F
RR18,37,F
RR80,50,M
RS10,44,F
RS20,52,M
SA82,37,F
SE09,43,F
SE43,32,F
SF70,31,M
SF91,45,M
SK30,50,M
SK57,30,M
SK58,34,F
SM56,39,M
SS71,32,M
SW17,50,M
SX103,42,M
TA36,36,F
TA39,30,M
TG29,34,M
TI86,51,F
TX99,47,F
WA76,32,M
WA87,47,F
WF75,34,M
WJ83,43,M
WR11,39,M
WS07,35,M
WS53,30,F
ZR35,48,F
